,Overweight or Obese
Region: Centre,0.0
Region: Mexico City,0.0
Region: North,0.0
Region: South,0.0
Sociodemographic strata: 1st strata,-0.16807409353917588
Sociodemographic strata: 2nd strata,0.0
Sociodemographic strata: 3rd strata,0.0
Sociodemographic strata: 4th strata,0.0
locality_type_rural,0.0
locality_type_urban,0.0
"locality_size_15,000-99,999",0.0
"locality_size_2,500-14,999",0.0
"locality_size_<2,500",0.0
"locality_size_>100,000",0.0
Room used to cook: kitchen,0.0
ELCSA result: Food security,0.0
ELCSA result: Mild insecurity,0.0
ELCSA result: Moderate insecurity,0.0
ELCSA result: Severe insecurity,0.0
sex_health_info_adult_female,0.0
sex_health_info_adult_male,0.0
Grade achieved: bachellors,0.0
Grade achieved: masters,0.0
Grade achieved: none,0.0
Grade achieved: normal basica,0.0
Grade achieved: licenciatura,0.0
Grade achieved: preparatoria,0.0
Grade achieved: primaria,0.0
Grade achieved: secundaria,0.0
Grade achieved: preparatoria with technical studies,0.0
Grade achieved: primaria with technical studies,0.0
Grade achieved: secundaria with technical studies,0.0
Marital status: divorced,0.0
Marital status: free union,0.0
Marital status: married,0.0
Marital status: separated free union,0.0
Marital status: separated marriage,0.0
Marital status: single,0.1355236194286269
Marital status: widowed,0.0
Kinship: Grandparent,0.0
Kinship: Father or Uncle/Aunt,0.0
Kinship: Mother/father-in-law,0.0
Kinship: No kinship,0.0
Kinship: Parent,0.0
Kinship: Parent or uncle/aunt,0.0
Kinship: Partner,0.0
Kinship: Partner or brother/sister-in-law,0.0
Kinship: Sibling,0.0
Kinship: Sibling or cousin,0.0
Kinship: Unknown,0.0
age_group_health_info_adult_20-29,0.0
age_group_health_info_adult_30-39,0.0
age_group_health_info_adult_40-49,0.0
age_group_health_info_adult_50-59,0.0
age_group_health_info_adult_60-69,0.0
age_group_health_info_adult_70-79,0.0
age_group_health_info_adult_80-89,0.0
age_group_health_info_adult_90 or more,0.0
Age: 20-29 years,0.0
Age: 30-39 years,0.0
Age: 40-49 years,0.0
Age: 50-59 years,0.0
Age: 60-69 years,0.0
Age: 70-79 years,0.0
Age: 80-89 years,0.0
age_nut_know_adult_90 or more,0.0
