,Overweight or Obese
Expense in fruits,0.0
Expense in vegetables,0.0
Expense in corn,-0.4726493734825765
Expense in bread,-0.5895961091889836
Expense in grains,-0.3774422739579523
Expense in oil and sugar,-0.1589293372033644
Expense in dairy,0.6583495628404786
Expense in eggs,0.0
Expense in snacks,0.0
Expense in snacks,0.0
Expense in fast food,0.0
Expense in bottled water,0.6171536703856162
Expense in soda,0.03977157026909219
Expense in alcohol,0.0
Expense in tobacco,0.09327328201630089
Expense in takeout or restaurant meals,0.266999461096832
monthly_income,0.0
total_food_exp,0.1693933774874767
total_medical_exp,0.0
