method,k,WCSS,BCSS,CH_index
single,2,42028.10396430989,30.77313595728845,1.804882280655165
single,3,42002.2011222144,56.6759780527872,1.6624082332700518
single,4,41974.86621629436,84.01088397281443,1.643196082776455
single,5,41924.26635284672,134.61074742065415,1.9762519954457547
single,6,41896.58036635057,162.2967339163851,1.9066580550283456
single,7,41869.689348721964,189.1877515452459,1.852580693578002
single,8,41846.892847180534,211.98425308662175,1.7795118035358466
single,9,41823.177669602715,235.69943066439387,1.7315434672069225
single,10,41765.79868373846,293.07841652919205,1.9156920311360293
single,11,41741.97310262282,316.9039976440654,1.8645889505518363
single,12,41717.88722324645,340.98987702065574,1.8242232720898153
single,13,41694.03472626225,364.84237400520124,1.78947098725056
single,14,41647.95381280088,410.92328746615226,1.861749649094784
single,15,41600.55922595469,458.317874312874,1.9295678587108103
single,16,41578.22337618773,480.65372407947666,1.8889411845232056
single,17,41555.73050774772,503.14659251933284,1.8539999426832015
single,18,41509.673726200665,549.2033740665722,1.9060037057452293
single,19,41487.782782047965,571.0943182191843,1.8720891325003965
single,20,41461.39223674581,597.4848635212994,1.8559377038717135
single,21,41435.77805760018,623.0990426670919,1.8391114271403854
single,22,41410.76150385646,648.1155964109971,1.8222116732550708
single,23,41386.20899903618,672.6681012309157,1.8056089864123186
single,24,41361.998309196286,696.8787910706194,1.789581022887652
single,25,41339.28920345411,719.5878968131725,1.7711496716934978
single,26,41316.27016247771,742.6069377896656,1.7549537051781803
single,27,41267.16597546596,791.7111248014179,1.800439702207741
single,28,41238.04701955276,820.8300807147554,1.7980559859218341
single,29,41215.460975741466,843.4161245255386,1.7817936547122508
single,30,41191.75029315202,867.126807115183,1.7690084107490034
single,31,41169.21891851785,889.6581817491178,1.7547149607333168
single,32,41144.58295266547,914.294147601758,1.745462597318309
single,33,41119.45140183223,939.4256984349654,1.7377436894507208
single,34,41076.16597897582,982.7111212911998,1.763860115100421
single,35,41053.61836769481,1005.2587325725455,1.7515037327094807
single,36,41031.995692362376,1026.8814079050396,1.738259313072615
single,37,40987.566122647324,1071.3109776198712,1.7642787271866118
single,38,40965.72992282841,1093.1471774387098,1.7517968093849368
single,39,40909.059158523756,1149.8179417435565,1.7958690890286122
single,40,40864.82091564727,1194.056184620028,1.8183619359802294
single,41,40823.46747720702,1235.4096230599132,1.8354049341942371
single,42,40803.33019141041,1255.546908857148,1.81997415030189
single,43,40780.85261437102,1278.0244858962833,1.8086985827971227
single,44,40759.856351695315,1299.0207485718263,1.7958431467763347
single,45,40716.83442081228,1342.0426794545986,1.8143195648878343
single,46,40694.13877394338,1364.7383263239105,1.804262829202307
single,47,40644.96171082199,1413.915389445233,1.8300975390375116
single,48,40622.1576847355,1436.7194155318066,1.820316826261793
single,49,40573.73040925055,1485.1466910168529,1.8439089481137971
single,50,40553.03540763779,1505.84169262954,1.8316248241850743
single,51,40532.68057639516,1526.1965238718958,1.819416208964897
single,52,40510.48642165818,1548.3906786087773,1.8099227928094483
single,53,40487.190385266425,1571.6867150008889,1.8021140161905609
single,54,40465.25431440583,1593.62278586108,1.7930182453474548
single,55,40444.743511212466,1614.1335890544856,1.7826288589957149
single,56,40424.667707720495,1634.2093925467188,1.77213076202868
single,57,40403.09278553971,1655.7843147272292,1.7636734164289396
single,58,40379.24158685755,1679.6355134096834,1.7579998563406711
single,59,40346.26450754145,1712.6125927256571,1.7623180551980764
single,60,40324.60046862289,1734.2766316444886,1.7545767805514303
single,61,40303.8228909613,1755.054209305977,1.7461786189258206
single,62,40282.28887229442,1776.588227973069,1.738833049921404
