k,WCSS,BCSS,CH_index
2,40036.73412474251,2022.1429755246515,124.50022569617681
3,38934.91027195132,3123.966828315838,98.85028899778234
4,38217.35977224801,3841.517328019162,82.52495057478993
5,37729.02335829946,4329.85374196769,70.635938621371
6,37292.619129248924,4766.257971018245,62.90660801282337
7,36909.43390762487,5149.443192642293,57.20141127786809
8,36589.473063760066,5469.404036507108,52.51028076664316
9,36309.36692469225,5749.5101755749065,48.652376812553385
10,36054.42908973545,6004.44801053171,45.46499135502424
11,35844.455732538554,6214.421367728614,42.58013845440124
12,35700.73083891517,6358.146261351987,39.74771971131966
13,35534.52699968409,6524.350100583067,37.547413972362676
14,35322.81211249751,6736.064987769664,35.98364827974465
15,35201.30361188351,6857.573488383653,34.11961747397224
16,35066.58729093217,6992.289809334991,32.58201733080498
17,34914.0335661514,7144.843534115765,31.335656594606267
18,34809.31890803224,7249.558192234912,30.002391803201416
19,34687.08795837578,7371.789141891384,28.9030697676408
20,34607.247878442715,7451.629221824449,27.730936852868258
21,34437.00424454564,7621.872855721521,27.068412909418008
22,34399.05092592738,7659.826174339786,25.925791405988267
23,34304.58677286609,7754.290327401081,25.11125312569559
24,34213.38806640547,7845.489033861694,24.356762828230725
25,34131.97864215562,7926.89845811155,23.63068155435572
26,33975.368862125666,8083.508238141503,23.23076307353902
27,33930.80661925844,8128.07048100873,22.48069612350989
28,33858.12626536535,8200.750834901812,21.879567491322994
29,33791.825107546545,8267.051992720624,21.301720898162014
30,33683.13785812415,8375.739242143018,20.896239474458756
31,33637.464090441295,8421.413009825861,20.329081126902775
32,33520.23759521375,8538.639505053412,20.00869949736008
33,33454.766862969096,8604.110237298064,19.562238696958055
34,33397.09285955142,8661.784240715737,19.121716123785387
35,33357.55965965224,8701.317440614936,18.658442777454997
36,33265.01937549244,8793.857724774716,18.361517405429883
37,33190.79202389238,8868.085076374775,18.03499423046001
38,33098.907595233206,8959.969505033963,17.77127804735444
39,33111.23154738013,8947.645552887028,17.266269819655363
40,33029.334153432166,9029.542946834998,17.0126167476924
41,32913.0758084261,9145.801291841064,16.85326681647156
42,32931.665295074105,9127.211805193065,16.392769123631506
43,32836.33183080671,9222.545269460448,16.209868247073864
44,32794.28144005421,9264.595660212954,15.918909326359843
45,32711.868591915092,9347.00850835208,15.728552177836619
46,32618.45621373154,9440.42088653561,15.570775035079837
47,32576.188318621247,9482.688781645917,15.31400430272955
48,32544.737679661055,9514.139420606109,15.046197091327985
49,32514.74817208048,9544.128928186694,14.786689788058762
50,32476.191821011173,9582.685279255986,14.554681207077918
51,32414.78090701263,9644.096193254525,14.376241795212731
52,32359.120681806962,9699.756418460214,14.194205078250945
53,32324.227665559007,9734.649434708159,13.980608731083471
54,32153.643189439546,9905.233910827621,14.025424027208482
55,32213.92833760345,9844.948762663718,13.650649499303727
56,32181.74631859607,9877.130781671096,13.454133046193979
57,32114.330222544057,9944.546877723116,13.326470618096572
58,32072.97899921556,9985.898101051604,13.15860270341021
59,32011.388678441243,10047.488421825925,13.031112341143372
60,31972.09988741779,10086.777212849363,12.870794200823472
61,31968.384161962374,10090.49293830478,12.657154167568775
62,31862.529607799952,10196.347492467208,12.616811701131468
63,31854.863101731742,10204.013998535436,12.420471326029817
64,31772.435530886716,10286.44156938045,12.348888737465817
65,31712.40689522133,10346.47020504583,12.244922347462715
66,31702.12451574237,10356.752584524786,12.067409135840764
67,31654.900536694982,10403.976563572187,11.951590877847513
68,31580.357734896934,10478.51936537023,11.880598527553321
69,31582.345271183865,10476.531829083293,11.698048718276283
70,31510.01201922246,10548.865081044707,11.629903529258584
71,31468.934543573665,10589.942556693497,11.518617026081493
72,31423.771397687466,10635.105702579693,11.41643933013119
73,31418.372913444222,10640.504186822945,11.260823887556251
74,31372.867492204325,10686.009608062835,11.16557732763633
75,31353.48465057999,10705.392449687166,11.036877763966805
76,31206.24140453364,10852.635695733525,11.086949610334058
77,31273.423452026498,10785.453648240667,10.845443095947084
78,31180.682616923183,10878.194483343985,10.824220355796323
79,31206.166699261346,10852.71040100582,10.64725143104625
80,31110.380202617194,10948.496897649966,10.633457721715299
81,31071.56755177253,10987.309548494633,10.54650708361698
82,31030.465285096834,11028.41181517033,10.464730580697902
83,31042.003025888367,11016.874074378788,10.318131230997398
84,30964.924922368045,11093.952177899113,10.286371569485311
85,30910.940115324884,11147.93698494228,10.226917734142557
86,30890.030058655142,11168.847041612029,10.12815833366163
87,30832.21387100359,11226.66322926357,10.076842974687493
88,30776.84942737951,11282.027672887663,10.023933809920056
89,30795.59520712161,11263.281893145553,9.88338081297854
90,30724.745789377088,11334.131310890083,9.852333781014803
91,30655.325816686764,11403.551283580398,9.820601995449953
92,30698.795219548785,11360.081880718377,9.657892153744433
93,30637.7062962971,11421.17080397006,9.619384073879326
94,30566.04161717098,11492.835483096196,9.594067717569846
95,30572.377874903403,11486.499225363763,9.480806871681587
96,30495.23569113342,11563.64140913375,9.463909313141043
97,30515.95171421809,11542.925386049079,9.338262595798852
98,30424.657044275784,11634.220055991384,9.339097491261127
99,30385.028567020498,11673.848533246666,9.283463355321363
