method,k,silhouette_avg
single,2,0.2664860945966678
single,3,0.17915997821125154
single,4,0.15646349151973166
single,5,0.12676339583770718
single,6,0.11824271343116748
single,7,0.10773503434746588
single,8,0.07539730066348567
single,9,0.061643216817910275
single,10,0.06108178307141918
single,11,0.05230122154078895
single,12,0.04521148458158138
single,13,0.038520460691556936
single,14,0.03078524199049634
single,15,0.026151383566701318
single,16,0.015082963764887615
single,17,0.003525717552585051
single,18,0.0012335338818939693
single,19,-0.00821150904114061
single,20,-0.01048417352172046
single,21,-0.012914572178511429
single,22,-0.01390798026890822
single,23,-0.017035676880936844
single,24,-0.023353553815229588
single,25,-0.026501327334009867
single,26,-0.03086132158543611
single,27,-0.032727815736170035
single,28,-0.033258613712084
single,29,-0.0377724526846516
single,30,-0.04043339627344933
single,31,-0.04318884770492066
single,32,-0.04489970026777797
single,33,-0.04520816314287338
single,34,-0.04895815201731732
single,35,-0.052109119158999906
single,36,-0.05481399486099461
single,37,-0.05427908421222335
single,38,-0.059043991414479594
single,39,-0.05790756108161214
single,40,-0.05969236945593134
single,41,-0.05919677106401648
single,42,-0.06784205779237577
single,43,-0.0689357022889891
single,44,-0.07216559145697815
single,45,-0.07396088009647286
single,46,-0.07481282281928757
single,47,-0.07611813807727802
single,48,-0.07943599973181435
single,49,-0.07943121190466453
single,50,-0.0836403553133188
single,51,-0.08978487219981704
single,52,-0.09157014335528739
single,53,-0.092911331518061
single,54,-0.09403990015162543
single,55,-0.09604193070313466
single,56,-0.10023540862206085
single,57,-0.10454536408289397
single,58,-0.10531878563765516
single,59,-0.10518645701442486
single,60,-0.10793509538413061
single,61,-0.10972614702005244
single,62,-0.11068729251079848
single,63,-0.1108394421917453
single,64,-0.11112321916328571
single,65,-0.11709497858999925
single,66,-0.1181926354577442
single,67,-0.11880012022652862
single,68,-0.12032185276545777
single,69,-0.12091119271850756
single,70,-0.12116607240129988
single,71,-0.12117576985914064
single,72,-0.12231365716972974
single,73,-0.12210363187783144
single,74,-0.12351904502565972
single,75,-0.12406635158064357
single,76,-0.12543369360002754
single,77,-0.12598795351788974
single,78,-0.12596700423612153
single,79,-0.12742397628212732
single,80,-0.12983539226832946
single,81,-0.1318641359791665
single,82,-0.1320448782385286
single,83,-0.13301819316152388
single,84,-0.13450070632030128
single,85,-0.13471016034307282
single,86,-0.13483458912865096
single,87,-0.13476691197498972
single,88,-0.13407176483248348
single,89,-0.13520908610379323
single,90,-0.135670192478971
single,91,-0.13570246973003172
single,92,-0.13491685108648557
single,93,-0.13490729743926552
single,94,-0.1365144537614848
single,95,-0.13686940314466434
single,96,-0.13745528342114954
single,97,-0.13745810470476286
single,98,-0.1388674526505579
single,99,-0.1385088522669551
complete,2,0.05281145022820831
complete,3,0.0531990267214213
complete,4,0.035167099014753886
complete,5,0.01594773231699646
complete,6,0.013072962624604351
complete,7,0.013686447733648808
complete,8,0.012811543111261743
complete,9,0.013133394561317235
complete,10,0.013710998257481894
complete,11,0.012410843283635922
complete,12,0.01226022377264625
complete,13,0.01301029374799896
complete,14,0.012767355025009471
complete,15,0.0008563186578719786
complete,16,0.0010397830981332223
