method,k,WCSS,BCSS,CH_index
single,2,46567.84449723466,30.36782800207352,1.6074760778235384
single,3,46535.53198656596,62.68033867076478,1.659423970154139
single,4,46505.5955323921,92.61679284488562,1.6350373767967081
single,5,46447.69721444495,150.51511079203857,1.994545612558132
single,6,46418.906745072534,179.30558016388815,1.9012556034838999
single,7,46390.93598906644,207.276336169888,1.8318944426920638
single,8,46363.98545153084,234.22687370621435,1.7746652673078296
single,9,46299.38144206743,298.8308831696247,1.9830888878883322
single,10,46268.66368306707,329.5486421695098,1.9444430020398726
single,11,46242.13019213478,356.08213310190604,1.8912141704212178
single,12,46215.833131346735,382.3791938896263,1.846555129378406
single,13,46187.82800078425,410.38432445221895,1.8170067306272508
single,14,46136.413197030866,461.79912820589936,1.8887021585170565
single,15,46107.60729942505,490.6050258118888,1.863596290983654
single,16,46075.54249857478,522.6698266620479,1.8535701381968614
single,17,46021.66707934171,576.5452458947394,1.9183027556440004
single,18,45969.74597940001,628.4663458362937,1.9694718880886573
single,19,45943.67704223835,654.5352829980958,1.9375201163351243
single,20,45916.87677096857,681.3355542682594,1.9110369347252538
single,21,45892.23829753313,705.974027703267,1.881377478874258
single,22,45866.46501458358,731.7473106531166,1.8574855070900418
single,23,45840.42631959276,757.7860056443415,1.8364387729836131
single,24,45812.304668375684,785.9076568611155,1.8221537144260849
single,25,45787.295782199675,810.9165430370178,1.802044799642733
single,26,45759.82949746008,838.3828277763504,1.7888986957135955
single,27,45733.2095953144,865.002729922413,1.775016011077404
single,28,45706.45036547151,891.7619597653645,1.7624608719631916
single,29,45681.99309454136,916.2192306957461,1.746344935874231
single,30,45658.25472800916,939.9575972274367,1.7300015291558586
single,31,45605.30783119426,992.9044940425218,1.767860995800705
single,32,45580.57436531083,1017.6379599260558,1.7536817276589034
single,33,45555.78143745804,1042.4308877782591,1.7405013567924017
single,34,45527.41497837907,1070.7973468579335,1.7340533844262136
single,35,45502.149166031755,1096.0631592049542,1.7230120878207493
single,36,45476.16689087098,1122.0454343658655,1.7137343658266753
single,37,45451.855173060925,1146.3571521756521,1.702441131989673
single,38,45428.71475394341,1169.4975712934836,1.6900309764239883
single,39,45382.411064512584,1215.8012607241658,1.7117491068476072
single,40,45333.62986731066,1264.5824579262128,1.7359284783244646
single,41,45310.17462557096,1288.0376996655825,1.724104732110888
single,42,45286.368340083296,1311.843985153696,1.7133361569192331
single,43,45273.57412412754,1324.6382011094515,1.6886351273544744
single,44,45246.746808263815,1351.465516972967,1.683071508601514
single,45,45222.095914122096,1376.1164111145,1.675042959112431
single,46,45198.36578118099,1399.846544055646,1.6662492718166133
single,47,45176.671794622394,1421.5405306144253,1.6553984647719486
single,48,45152.08010813745,1446.132217099567,1.6484214203754672
single,49,45107.57484762744,1490.6374776093026,1.664706275791243
single,50,45084.12745390573,1514.08487133086,1.6565598132423982
single,51,45039.33275720475,1558.8795680321284,1.6724284334621502
single,52,45014.26419149595,1583.9481337405266,1.6662407827998065
single,53,44990.78654843479,1607.4257768021646,1.6585984866988195
single,54,44940.16600636857,1658.0463188684068,1.6797453159614097
single,55,44903.24217457244,1694.9701506639856,1.6860400956198636
single,56,44848.170183675335,1750.0421415611074,1.710559948872955
single,57,44826.503544770734,1771.7087804659325,1.7009301829100116
single,58,44791.07362947875,1807.1386957580305,1.705147518193108
single,59,44777.95613552195,1820.256189714831,1.6877057847806447
single,60,44754.071099319895,1844.1412259167435,1.6810696511664809
single,61,44731.09528137793,1867.1170438588895,1.6738108688769642
single,62,44704.16960569346,1894.0427195432142,1.67042500996438
single,63,44680.0137470336,1918.1985782033598,1.6646504040173005
single,64,44655.442521068864,1942.769804167867,1.6594347053412157
