k,WCSS,BCSS,CH_index
2,44160.75876969795,2437.453555538807,136.05570152761788
3,42543.825428090466,4054.3868971463007,117.40845133277988
4,41666.13696036122,4932.075364875545,97.18284847033054
5,40795.320064804226,5802.892260432533,87.55122353795815
6,40089.66320588588,6508.549119350883,79.90857543732551
7,39536.84883060758,7061.363494629175,73.2268533894048
8,39148.50496134161,7449.707363895165,66.84740005090032
9,38808.15790194785,7790.054423288901,61.6750279052895
10,38475.90753274683,8122.304792489937,57.630588868177675
11,38174.82698795824,8423.385337278527,54.19234616277836
12,37907.27398548453,8690.93833975225,51.16852826491071
13,37655.809401292325,8942.402923944437,48.564124022889196
14,37452.94590713049,9145.26641810627,46.0749183568201
15,37176.90088638044,9421.311438856324,44.384425922884695
16,37022.16972421584,9576.042601020928,42.26455047509947
17,36830.7979323542,9767.414392882567,40.608279289987756
18,36623.667533891814,9974.544791344952,39.23477042687869
19,36453.90193114042,10144.310394096354,37.84577618613087
20,36348.05794371499,10250.154381521783,36.31863881207325
21,36189.786451636624,10408.425873600136,35.17430217618014
22,36058.00533972155,10540.206985515206,34.033530982178874
23,35902.128590400374,10696.08373483639,33.096579853852326
24,35894.89042238204,10703.321902854712,31.672444669256368
25,35716.54471460871,10881.667610628061,30.999910216077996
26,35596.22038990385,11001.99193533292,30.178330193466028
27,35535.57949390628,11062.632831330484,29.215382369396377
28,35384.29946882678,11213.912856409977,28.628237473557135
29,35342.86477434267,11255.347550894092,27.72891208965404
30,35230.904335278574,11367.307989958195,27.113861120434958
31,35144.642987622836,11453.56933761393,26.462918702625235
32,35081.56675319485,11516.645572041916,25.786018646579304
33,34964.45153575899,11633.760789477772,25.308360096672804
34,34832.09616877393,11766.116156462831,24.90472151331454
35,34774.09834434792,11824.11398088883,24.32189353456758
36,34687.437994228145,11910.774331008615,23.849796989495538
37,34683.75295447791,11914.459370758857,23.187398681502597
38,34493.62006400447,12104.592261232297,23.037597182269685
39,34482.930732151406,12115.281593085356,22.44886709807493
40,34451.1172414463,12147.095083790466,21.941902948626733
41,34361.297048307555,12236.91527692921,21.598978365175295
42,34302.19188663395,12296.020438602814,21.201695387463282
43,34244.7697977196,12353.442527517162,20.819824919238055
44,34110.50644696512,12487.705878271645,20.629060631111894
45,34134.16126813785,12464.051057098928,20.099786560632037
46,33998.10060514992,12600.111720086848,19.93893771930272
47,34020.893991637284,12577.318333599484,19.44911596078251
48,33821.85912721188,12776.353198024884,19.442291190199292
49,33866.006513364315,12732.205811872447,18.938898730795707
50,33842.16264405912,12756.049681177634,18.59253741280572
51,33765.4866797261,12832.725645510662,18.364234138623857
52,33653.496278786246,12944.716046450527,18.214166290950207
53,33655.70593837716,12942.50638685959,17.852276540409076
54,33587.18075190353,13011.03157333324,17.63679356433427
55,33581.05769472683,13017.154630509933,17.31431189913786
56,33488.21797444528,13109.99435079148,17.16109468919831
57,33443.554780913495,13154.657544323254,16.9276288753551
58,33298.19510551055,13300.017219726213,16.880816692283275
59,33279.23278575675,13318.979539480011,16.615986673327185
60,33233.55388906169,13364.65843617506,16.406092531936377
61,33180.51210589855,13417.700219338207,16.21583708769257
62,33152.65484438361,13445.557480853151,15.98989998219021
63,33077.8437797725,13520.368545464264,15.848717054161076
64,33038.379252650135,13559.833072586636,15.654847104134937
65,32972.903671125656,13625.308654111097,15.508942449385119
66,33015.745809171895,13582.466516064873,15.196246660638078
67,32908.60871634056,13689.603608896203,15.126855464693174
68,32889.738438226675,13708.473887010083,14.923962004502105
69,32816.90457761875,13781.30774761801,14.809250617908386
70,32763.56609726962,13834.64622796715,14.668842164665207
71,32739.738996263754,13858.473328973007,14.4886843565197
72,32709.547729045033,13888.664596191727,14.32297123945156
73,32621.327000522433,13976.885324714325,14.246245624505361
74,32623.262889224814,13974.949436011942,14.042443587811439
75,32504.392584014,14093.819741222766,14.015742614058416
76,32507.0045729106,14091.20775232617,13.81941243268283
77,32497.637704705354,14100.574620531406,13.644867638369654
78,32447.19655063743,14151.015774599342,13.531185881611789
79,32373.647846456053,14224.564478780718,13.452006229563125
80,32360.487369160128,14237.724956076649,13.29385302532046
81,32311.826839678226,14286.385485558532,13.186857221689246
82,32278.468769031693,14319.74355620506,13.062481266270416
83,32231.608014724603,14366.604310512163,12.958793112760285
84,32199.772337766863,14398.4399874699,12.838331618203316
85,32168.35053607382,14429.861789162947,12.720255945521748
86,32085.562703112206,14512.64962212455,12.670026398958358
87,32077.947818687288,14520.264506549476,12.52698210234052
88,32060.58150138691,14537.630823849853,12.39930749144099
89,32022.03050380049,14576.181821436267,12.300537468778227
90,31974.67235915282,14623.539966083932,12.214778288075752
91,31817.269726231887,14780.942599004884,12.264310796347585
92,31843.70837815812,14754.503947078638,12.092697706724337
93,31803.55205008907,14794.660275147684,12.003896895146749
94,31774.112275900792,14824.100049335962,11.904460032164222
95,31760.418397247504,14837.793927989253,11.78880953932319
96,31698.873985952996,14899.338339283771,11.730893598467382
97,31647.216399866957,14950.995925369816,11.663038772317398
98,31634.85603586413,14963.356289372636,11.5519814010688
99,31575.37908777825,15022.833237458524,11.496321363465432
