method,k,silhouette_avg
single,2,0.21832441862018162
single,3,0.18804393308493134
single,4,0.15942473506451096
single,5,0.12978205973496693
single,6,0.117601002910426
single,7,0.10351410444862548
single,8,0.08868944663087373
single,9,0.0868556684517613
single,10,0.08396746231927511
single,11,0.06848078572650802
single,12,0.05460551396636351
single,13,0.04594291504143536
single,14,0.031108282817517558
single,15,0.024930524726819225
single,16,0.02279393474928314
single,17,0.019886855040269193
single,18,0.015169326244479153
single,19,0.01210263160198368
single,20,0.00971633178251683
single,21,0.00016449663228474792
single,22,-0.004119142542662687
single,23,-0.0064531291944154336
single,24,-0.010076214691712234
single,25,-0.01661148816597089
single,26,-0.021096868963997324
single,27,-0.023543019567485113
single,28,-0.026778362290874984
single,29,-0.03364085075131595
single,30,-0.04327028651933455
single,31,-0.04692072473497295
single,32,-0.05374447229056537
single,33,-0.05916886418752833
single,34,-0.059495647141905174
single,35,-0.06266188785120927
single,36,-0.06423190983496246
single,37,-0.06813473645949991
single,38,-0.07380806126884247
single,39,-0.07523702135863179
single,40,-0.07470363896958279
single,41,-0.0812816296928519
single,42,-0.08404320165103503
single,43,-0.08501682983864184
single,44,-0.08580221311406387
single,45,-0.09035440322400273
single,46,-0.09234988530632944
single,47,-0.09644873568851044
single,48,-0.09960001724902226
single,49,-0.10152038859101238
single,50,-0.10411162974180092
single,51,-0.10376582636540094
single,52,-0.1051529313909499
single,53,-0.10654791570247044
single,54,-0.10567713085597123
single,55,-0.10581283239280344
single,56,-0.106718344928666
single,57,-0.11351443733284178
single,58,-0.11424927371825624
single,59,-0.11759689040807075
single,60,-0.12120338594554134
single,61,-0.12358759319453086
single,62,-0.12398792158208477
single,63,-0.12539077805671012
single,64,-0.12623356422158552
single,65,-0.12814487204375782
single,66,-0.12920191834339953
single,67,-0.1340524251201172
single,68,-0.13507432961786237
single,69,-0.1386060860141415
single,70,-0.14016447651099065
single,71,-0.14054168126006164
single,72,-0.14085352634472775
single,73,-0.14283850472930226
